,mass flow (kg/s),mole flow (kmol/s),mole percent Ar (%),mole percent C2H6 (%),mole percent C3H8 (%),mole percent C4H10 (%),mole percent CH4 (%),mole percent CO2 (%),mole percent H2O (%),mole percent N2 (%),mole percent O2 (%),pressure (bar),temperature (K),volumetric flow (m**3/s)
air01,1101.114287503388,38.15970147083809,0.9199999999999999,,,,,0.03,0.9900000000000001,77.32,20.74,1.03421,288.15,883.3174737153963
air02,1101.114287503388,38.15970147083809,0.9199999999999999,,,,,0.03,0.9900000000000001,77.32,20.74,1.0988719585218618,288.1700180921796,831.3580235443497
air03,1101.114287503388,38.15970147083809,0.9199999999999999,,,,,0.03,0.9900000000000001,77.32,20.74,19.230259274132585,709.6448666689287,117.77866908228887
air04a,1008.735200778315,34.95825507096418,0.9199999999999999,,,,,0.030000000000000002,0.9899999999999999,77.32,20.739999999999995,19.230259274132585,709.6448666689287,107.89750959775812
air04b,1008.735200778315,34.95825507096418,0.9199999999999999,9.999999999999999e-19,9.999999999999999e-19,9.999999999999999e-19,9.999999999999999e-19,0.03,0.9899999999999999,77.32,20.73999999999999,19.230259274132585,709.6448666689287,107.89750959775812
air05,67.35725204415213,2.3343014063768885,0.9199999999999999,,,,,0.03,0.9900000000000001,77.32,20.74,19.230259274132585,709.6448666689287,7.204744856038488
air06a,67.35725204415213,2.3343014063768885,0.9199999999999999,,,,,0.03,0.9900000000000001,77.32,20.74,7.138926752662061,709.7299446049436,19.33762591968095
air06b,67.35725204415212,2.3343014063768885,0.9199999999999999,,,,,0.03,0.9900000000000001,77.32,20.739999999999995,7.138926752662061,709.7299446049436,19.33762591968095
air07,14.770272081036698,0.5118716373514322,0.9199999999999999,,,,,0.03,0.9900000000000001,77.32,20.74,19.230259274132585,709.6448666689287,1.5798750478772974
air08a,14.770272081036698,0.5118716373514322,0.9199999999999999,,,,,0.03,0.9900000000000001,77.32,20.74,2.799729194545549,709.7563948522177,10.79844988610616
air08b,14.770272081036696,0.5118716373514322,0.9199999999999998,,,,,0.029999999999999992,0.9899999999999999,77.32,20.73999999999999,2.799729194545549,709.7563948522177,10.79844988610616
air09,10.25156259988412,0.3552733561455883,0.9199999999999999,,,,,0.03,0.9900000000000001,77.32,20.739999999999995,19.230259274132585,709.6448666689287,1.096539580614974
air10a,10.25156259988412,0.3552733561455883,0.9199999999999999,,,,,0.03,0.9900000000000001,77.32,20.739999999999995,1.1004073196909119,709.7661542563853,19.0592203466657
air10b,10.251562599884123,0.35527335614558836,0.9199999999999998,,,,,0.029999999999999992,0.9899999999999999,77.32,20.73999999999999,1.1004073196909119,709.7661542563853,19.059220346665704
fuel01,25.951369857160685,1.5050225988620753,9.999999999999999e-18,3.2,0.7000000000000001,0.4,93.10000000000001,1.0,1e-17,1.6,9.999999999999999e-18,31.026400000000002,299.817,1.1232652188390568
fuel02,25.951369857160685,1.5050225988620753,9.999999999999999e-18,3.2,0.7000000000000001,0.4,93.10000000000001,1.0,1e-17,1.6,9.999999999999999e-18,31.026400000000002,446.9152950258838,1.7793820780548724
g01,1034.6865706354756,36.46327766982623,0.882026979486299,0.1320800713520056,0.028892515608251224,0.0165100089190007,3.8427045758974128,0.0700367716285767,0.949137727925474,74.1946553116332,19.88395603754982,19.230259274132585,691.7793343522846,109.70337390570026
g02a,1034.8162733024428,36.50692332519325,0.8809724768861167,9.999999999999999e-19,9.999999999999999e-19,9.999999999999999e-19,9.999999999999999e-19,4.3244428199899945,9.217873630554857,74.10595229147013,11.470758781098896,18.268746310425957,1641.3466326354587,273.5412334648043
g02b,1034.816273302443,36.506923325193256,0.8809724768861167,,,,,4.324442819989994,9.217873630554857,74.10595229147013,11.470758781098896,18.268746310425957,1641.3466326354587,273.54123346480435
g03,1034.8162733024428,36.50692332519325,0.8809724768861167,,,,,4.324442819989994,9.217873630554857,74.10595229147013,11.470758781098898,7.138926752662061,1365.4193393612297,581.3896126652331
g04,1102.173525346595,38.841224731570136,0.8833179745557125,,,,,4.066353020206727,8.723390330400713,74.29911190829566,12.027826766541196,7.138926752662061,1329.3885173416018,602.2622008585411
g05,1102.1735253465952,38.84122473157014,0.8833179745557125,,,,,4.066353020206727,8.723390330400713,74.29911190829566,12.027826766541196,2.799729194545549,1099.2683038098428,1268.8288839509626
g06,1116.9437974276316,39.35309636892157,0.8837951031722133,,,,,4.013851570002844,8.622800960415939,74.33840505359888,12.141147312810125,2.799729194545549,1094.5654231668734,1280.053125496405
g07,1116.9437974276318,39.35309636892158,0.8837951031722133,,,,,4.013851570002844,8.622800960415939,74.33840505359888,12.141147312810125,1.1004073196909119,899.6056443854469,2675.6901829407443
g08,1127.1953600275158,39.708369725067165,0.8841190307294001,,,,,3.97820779194143,8.554509795788084,74.36508157672507,12.218081804815998,1.1004073196909119,898,2695.0281360424187
st01,16.49573713836028,0.9156531636587519,,,,,,,100.0,,,43.43032778206702,460.1972462242775,0.018712234085711602
st02,16.49573713836028,0.9156531636587519,,,,,,,100.0,,,43.43032778206702,325.6752266065512,0.016684026118344315
