,mass flow (kg/s),mole flow (kmol/s),mole percent Ar (%),mole percent CO2 (%),mole percent H2 (%),mole percent H2O (%),mole percent N2 (%),mole percent O2 (%),pressure (bar),temperature (K),vapor fraction (%),volumetric flow (m**3/s)
feed01,89.61866549804799,9.573961114818465,,,54.09342499967199,45.90657500032801,,,2.900001932222962,933.845823740217,100,256.3307347881619
feed01b,89.61866549804799,9.573961114818465,,,54.09342499967199,45.90657500032801,,,2.900001932222962,933.8669613518299,100,256.33654469076464
feed02,55.85370451666504,3.100353795273267,,,,100.0,,,2.900001932222961,877.9961222429619,100.0,77.94102952860807
feed02b,55.853741720910584,3.100353795273267,,,1.0000000000447866e-17,100.0,,,2.900001932222962,877.9961222511747,100,77.91642161724505
feed03,55.85370451666504,3.100353795273267,,,,100.0,,,2.900001932222961,577.1102804957487,100.0,50.94858916664673
hstrm01,49.93569966062962,9.573961114818465,,,79.99995883661106,20.000041163388946,,,2.900001932222962,967.4643176423155,100,265.6537628880414
hstrm02,33.76492832515485,6.473607319545198,,,79.9999588366108,20.000041163389206,,,2.900001932222962,967.4643176423155,100,179.62660629934652
hstrm03,16.170771335474804,3.100353795273267,,,79.99995883661153,20.00004116338848,,,2.900001932222962,967.4643176423155,100,86.02715658869487
hstrm04,16.1707713354748,3.1003537952732674,,,79.99995883661153,20.000041163388477,,,2.900001932222962,602.4465664751478,100,53.55525015718054
hstrm05,16.170771335474804,3.100353795273267,,,79.99995883661153,20.00004116338848,,,2.900001932222962,294.75226272696756,100,26.121279191450654
hstrm06,5.0,2.4802817600079368,,,100.0,,,,2.900001932222962,294.75226272696756,100,20.976825941315667
hstrm07,5.0,2.4802817600079368,,,100.0,,,,2.900001932222962,300.0,100,21.350454371783837
hstrm08,5.0,2.4802817600079368,,,100.0,,,,6.612004405468353,393.98668643668174,100,12.311420895494344
hstrm09,5.0,2.4802817600079368,,,100.0,,,,6.612004405468353,300.0,100,9.374059779630244
hstrm10,5.0,2.4802817600079368,,,100.0,,,,15.075370044467842,394.05874524164636,100,5.414109161828506
hstrm11,5.0,2.4802817600079368,,,100.0,,,,15.075370044467842,300.0,100,4.121612517514256
hstrm12,5.0,2.4802817600079368,,,100.0,,,,34.37184370138667,394.21234870669485,100,2.389378079851943
hstrm13,5.0,2.4802817600079368,,,100.0,,,,34.37184370138667,300.0,100,1.8186847921311942
hstrm15,5.0,2.4802817600079368,,,100.0,,,,65.0,371.12240958068713,100,1.2015292283646952
ostrm01,318.8335057648392,10.83700567138268,0.7544802344616253,0.024602616341139947,,0.8118863392576183,63.40914318323138,34.99988762670825,2.900001932222962,980.5252648937786,100,304.87961864793556
ostrm02,116.03551748392486,3.943994399329513,0.7544802344616366,0.024602616341140315,,0.8118863392576303,63.40914318323231,34.99988762670728,2.900001932222962,980.5252648937786,100,110.95717256958464
ostrm03,202.79798828091432,6.89301127205317,0.7544802344616203,0.02460261634113978,,0.8118863392576128,63.40914318323095,34.99988762670867,2.900001932222962,980.5252648937786,100,193.92244607835096
ostrm04,202.79798828091432,6.89301127205317,0.7544802344616203,0.02460261634113978,,0.8118863392576128,63.40914318323095,34.99988762670866,2.900001932222962,604.5778899830966,100,119.57711835350253
ostrm05,202.7979882809143,6.893011272053169,0.7544802344616204,0.02460261634113978,,0.811886339257613,63.40914318323095,34.99988762670867,1.01,475.11158269217174,100,269.6473463193927
ostrm06,202.79798828091432,6.89301127205317,0.7544802344616203,0.02460261634113978,,0.8118863392576128,63.40914318323095,34.99988762670867,1.01,328.8753414896775,100,186.54762621274466
sweep01,279.1514780162699,9.596864791378714,0.8519768403065557,0.027781853488257246,,0.9168011651124894,71.60309705706837,26.60034308402431,2.900001932222962,924.7997697550489,100,254.65769145321755
sweep01b,279.15147801627,9.596864791378714,0.8519768403065558,0.027781853488257246,,0.9168011651124894,71.60309705706838,26.60034308402431,2.900001932222962,924.8252420800247,100,254.66470239777632
sweep02,163.1159604025473,5.6528703920492,0.9199999999999998,0.029999999999999992,,0.9899999999999999,77.32,20.739999999999995,2.900001932222962,885.2007426742852,100,143.5835660006538
sweep03,163.1159604025473,5.6528703920492,0.9199999999999998,0.029999999999999992,,0.9899999999999999,77.32,20.739999999999995,2.900001932222962,407.2817360484084,100,66.02141552693561
sweep04,163.1159604025473,5.652870392049199,0.9199999999999999,0.03,,0.9900000000000001,77.32,20.74,1.01,288.15,100,133.99110886625874
water00,55.85370451666504,3.100353795273267,,,,100.0,,,1.01,288.15,0.0,0.055903879941629604
water01,55.85370451666504,3.100353795273267,,,,100.0,,,6.000000000000001,288.18502058879545,0.0,0.055891150815120694
water02,27.90526466954874,1.5489786035683033,,,,100.0,,,6.000000000000001,288.18502058879545,0.0,0.02792397334569373
water03,27.94843984711629,1.5513751917049634,,,,100.0,,,6.000000000000001,288.18502058879545,0.0,0.027967177469426965
water04,27.90526466954874,1.5489786035683033,,,,100.0,,,6.000000000000001,431.97647726522246,20.67714732275164,1.8452784021396138
water05,27.94843984711629,1.5513751917049634,,,,100.0,,,6.000000000000001,431.97647726522246,21.227035371482934,1.8964646524409503
