,mass flow (kg/s),molar enthalpy (kJ/mol),mole flow (kmol/s),pressure (bar),temperature (K),vapor fraction (None),volumetric flow (m**3/s)
cw01,3603.0560000000005,1.26,200.0,5.0,289.6984236493751,0.0,3.6065176032170845
cw02,3603.0560000000005,2.1110236473912214,200.0,5.0,300.9948177091711,0.0,3.6158617481651874
t01,134.55283358860046,63.53494469310688,7.4688172256329315,172.45564703690098,859.5175402318401,1.0,2.817237230408771
t02,134.55283358860046,54.783192297020754,7.4688172256329315,24.001660884085194,585.0659093817883,1.0,14.276112128136164
t02_dummy,134.55283358860046,54.783192297020754,7.4688172256329315,24.001660884085187,585.0659093817883,1.0,14.276112128136164
t03,153.18557557912297,65.87281151869159,8.503091574436976,19.52106847538526,857.7121261661891,1.0,30.759526950917067
t03_dummy,153.18557557912297,65.87281151869159,8.503091574436976,19.52106847538526,857.7121261661891,1.0,30.759526950917067
t04,153.18557557912297,55.681418096739314,8.503091574436976,2.900057908346276,583.4263461641654,1.0,141.29945219609849
t05,38.64448394580572,54.52912558107637,2.1450948276022195,6.550000000000001,557.0011395749556,1.0,14.894829659962586
t06,71.93798762658224,55.44928685655368,3.9931651146461355,2.900057908346276,577.109974354327,1.0,65.619027053991
t07,71.93798762658224,45.224919894089126,3.9931651146461355,0.05462729416798543,307.60889856581707,0.9780045463981476,1824.1891041342171
t08,71.93798762658224,2.600904960680254,3.9931651146461355,0.05462729416798543,307.6088985658152,2.0677136643743974e-15,0.07235942352487572
t09,72.73116656564297,2.5998045288648766,4.0371932362773695,0.05462729416798543,307.5942837045615,0.0,0.07315688421353454
t10,72.73116656564297,2.6145150571745543,4.0371932362773695,6.550000000000001,307.649796176951,0.0,0.0731371570107854
t11,136.76958670888055,6.037924144425565,7.591865722258024,6.550000000000001,353.0689011947299,0.0,0.1406965650888616
t12,0.793178939060722,2.5,0.044028121631233146,1.01325,306.2480633588047,0.0,0.0007974271521052293
t13,64.03773736412558,9.925603430548414,3.5546345859806547,2.900057908346276,404.2192658857416,0.0,0.06856803732843704
t14,3.4229032e-05,50.3929563095462,1.9e-06,16.0,476.00000000000006,1.0,4.256384696561736e-06
t15,0.00064855008,50.495919874664175,3.6e-05,20.0,487.0,1.0,6.491800394764476e-05
t16,191.8300595249287,55.44928685655368,10.648186402039197,2.900057908346276,577.109974354327,1.0,174.979899786405
t17,64.03773736412558,55.44928685655368,3.5546345859806547,2.900057908346276,577.109974354327,1.0,58.412726838916825
t18,55.85433453422091,55.44928685655368,3.100386701412407,2.900057908346276,577.109974354327,1.0,50.94814589349718
