CO2SM.Pressure,CO2SM.Temperature,CO2SM.CO2_Enthalpy,CO2SM.CO2_Entropy,CO2SM.Enthalpy,CO2SM.Entropy,CO2SM.status,graph.error
13.44352,853.1312,-368176.883626,8.552332,-87996.3871,2.044056,0,0
31.863708,909.520515,-365486.064526,4.127018,-87353.2659,0.986381,0,0
21.132666,713.351479,-376015.521854,-5.327858,-89869.8666,-1.273389,0,0
21.981615,809.477728,-370818.552442,1.169161,-88627.7611,0.279436,0,0
18.081246,960.589169,-362401.453621,12.388151,-86616.0262,2.960839,0,0
16.411093,622.409936,-380610.848384,-10.110284,-90968.176,-2.416416,0,0
25.2327,988.23463,-360964.852117,10.959979,-86272.6702,2.619498,0,0
27.432593,881.338355,-366986.624327,3.776188,-87711.9083,0.902531,0,0
34.305683,679.214229,-378468.856697,-12.986071,-90456.2277,-3.103745,0,0
28.446215,625.267485,-381232.605846,-15.637125,-91116.7796,-3.737363,0,0
30.619529,852.199657,-368678.674512,0.855035,-88116.318,0.204358,0,0
19.000651,615.739816,-381153.98221,-12.186798,-91097.9881,-2.912715,0,0
26.887084,659.826135,-379222.914331,-12.03638,-90636.4518,-2.876764,0,0
26.228195,391.573477,-396212.842546,-45.581213,-94697.1421,-10.894171,0,0
8.467659,900.441885,-365472.191637,15.550664,-87349.9502,3.716698,0,0
23.68805,725.244485,-375481.953907,-5.555424,-89742.3408,-1.327778,0,0
34.827632,804.448372,-371445.681742,-3.628105,-88777.6486,-0.867138,0,0
28.653475,333.459323,-401829.346659,-61.538785,-96039.5188,-14.708123,0,0
9.236397,953.906869,-362588.612727,17.927201,-86660.7583,4.284704,0,0
28.842103,943.129329,-363550.526461,7.101884,-86890.6612,1.697391,0,0
24.53894,500.291231,-388148.987548,-26.817481,-92769.8345,-6.409532,0,0
22.777192,762.207863,-373428.569298,-2.458663,-89251.5701,-0.587635,0,0
20.033888,886.820723,-366520.16774,7.041187,-87600.4225,1.682884,0,0
19.945264,750.744246,-373940.661192,-2.002221,-89373.963,-0.478542,0,0
23.354002,612.793767,-381615.096248,-14.626357,-91208.197,-3.495783,0,0
17.152542,826.393732,-369742.892066,4.611709,-88370.6721,1.102225,0,0
28.364757,892.344583,-366390.25454,4.15444,-87569.3725,0.992935,0,0
21.459154,362.734916,-398218.321192,-49.8939,-95176.463,-11.924928,0,0
29.358999,532.822879,-386631.478362,-25.245048,-92407.1411,-6.033711,0,0
21.511837,369.286439,-397537.119968,-48.044051,-95013.652,-11.482804,0,0
27.754896,476.346696,-390009.744144,-31.530595,-93214.566,-7.535993,0,0
19.051515,708.950945,-376153.265829,-4.646431,-89902.7882,-1.110524,0,0
30.768393,606.689961,-382416.143131,-18.21038,-91399.6518,-4.352385,0,0
9.444376,771.555136,-372372.90635,6.363623,-88999.2606,1.520942,0,0
17.670835,931.771082,-363988.922215,10.908292,-86995.4403,2.607144,0,0
33.351639,913.027856,-365310.433594,3.912229,-87311.2891,0.935045,0,0
26.285926,395.060783,-395912.099555,-44.828798,-94625.2628,-10.71434,0,0
22.076534,525.712982,-386389.585423,-22.585543,-92349.3273,-5.398074,0,0
32.051277,569.52097,-384645.310969,-22.337639,-91932.4357,-5.338824,0,0
14.256305,387.722816,-393746.861982,-35.851969,-94107.7586,-8.568826,0,0
11.910541,726.364791,-374866.125173,1.08939,-89595.1542,0.260371,0,0
18.474317,834.917853,-369321.131478,4.484236,-88269.8689,1.071758,0,0
24.118406,868.131328,-367648.332295,4.146205,-87870.0603,0.990967,0,0
15.388391,896.529285,-365872.971558,10.034334,-87445.7389,2.398263,0,0
30.95801,483.214719,-389881.845122,-32.054476,-93183.9974,-7.661204,0,0
28.888576,848.93149,-368823.555972,1.197846,-88150.9455,0.286292,0,0
29.288496,687.750547,-377785.263062,-10.628153,-90292.8449,-2.540189,0,0
12.030912,559.214461,-383541.019899,-12.560736,-91668.5038,-3.002088,0,0
34.140854,461.882669,-391622.586188,-36.444786,-93600.0445,-8.710513,0,0
33.701832,972.875934,-361927.961638,7.406759,-86502.8589,1.770258,0,0
17.799561,630.413556,-380283.385114,-10.253956,-90889.9104,-2.450754,0,0
13.164167,321.582578,-401510.0288,-57.799003,-95963.2,-13.814293,0,0
10.069857,612.024779,-380656.33474,-6.189611,-90979.0475,-1.479353,0,0
11.422806,863.645964,-367545.804212,10.669253,-87845.5555,2.550013,0,0
18.587709,578.663429,-383121.948367,-15.305147,-91568.3433,-3.658018,0,0
9.682444,839.585366,-368778.382161,10.618477,-88140.1487,2.537877,0,0
26.797611,311.202471,-403763.170539,-67.245549,-96501.7138,-16.072072,0,0
23.822747,629.988396,-380698.556321,-13.314962,-90989.1387,-3.182352,0,0
18.268849,788.988459,-371807.319925,1.517171,-88864.0822,0.362613,0,0
32.972168,557.426017,-385420.8229,-23.942784,-92117.7875,-5.722463,0,0
31.298404,442.932555,-392711.563818,-38.250819,-93860.3164,-9.142165,0,0
18.382364,894.32233,-366067.955581,8.290956,-87492.3412,1.981586,0,0
11.938456,503.219602,-386437.821922,-17.958909,-92360.8561,-4.292282,0,0
31.798796,676.194752,-378537.498982,-12.434798,-90472.6336,-2.971988,0,0
28.950494,743.083426,-374702.05296,-6.216304,-89555.94,-1.485732,0,0
8.852187,609.147843,-380699.815705,-5.206713,-90989.4397,-1.244434,0,0
27.66127,434.506271,-392913.52759,-37.894174,-93908.5869,-9.056925,0,0
17.567363,930.234164,-364071.616046,10.870053,-87015.2046,2.598005,0,0
31.818634,702.911926,-377041.555388,-10.27043,-90115.0945,-2.454692,0,0
33.809431,857.996179,-368416.723477,0.281436,-88053.7102,0.067265,0,0
14.039545,417.314995,-391643.599073,-30.521747,-93605.0667,-7.294873,0,0
33.432327,594.837734,-383248.765407,-20.284097,-91598.6533,-4.848015,0,0
34.50245,365.407994,-399283.396466,-55.191969,-95431.0221,-13.191197,0,0
11.742964,997.272875,-360255.753654,18.280312,-86103.1916,4.369099,0,0
23.380061,920.181145,-364744.408686,7.665815,-87176.0059,1.832174,0,0
20.288838,862.224798,-367879.037637,5.378084,-87925.2002,1.285393,0,0
33.538537,724.743133,-375879.91172,-9.100124,-89837.455,-2.174982,0,0
24.973062,456.305843,-391010.06365,-32.934347,-93453.6481,-7.871498,0,0
22.234362,825.317975,-369958.279366,2.123048,-88422.1509,0.507421,0,0
34.733335,589.701436,-383619.89081,-21.226914,-91687.3544,-5.073354,0,0
9.113695,815.678702,-370029.443766,9.616512,-88439.1596,2.298402,0,0
31.736211,537.949094,-386505.043322,-25.618553,-92376.9224,-6.122981,0,0
13.609015,978.14041,-361347.499418,15.916287,-86364.1251,3.804084,0,0
21.380487,934.344766,-363919.343132,9.334211,-86978.8105,2.23093,0,0
24.461223,319.142051,-402975.15305,-64.372784,-96313.3731,-15.385465,0,0
28.083572,485.315876,-389461.574874,-30.475627,-93083.5504,-7.28385,0,0
30.021499,855.703401,-368470.343947,1.273246,-88066.5258,0.304313,0,0
20.947317,699.009409,-376782.563696,-6.339681,-90053.194,-1.51522,0,0
28.594203,445.992395,-392187.557147,-36.464348,-93735.0758,-8.715188,0,0
29.60851,779.026116,-372729.411602,-3.819362,-89084.4674,-0.91285,0,0
25.886384,382.910108,-396951.852843,-47.418831,-94873.7698,-11.333373,0,0
23.573651,829.161273,-369785.308622,1.826208,-88380.8099,0.436474,0,0
14.82301,559.659709,-383796.376114,-14.682101,-91729.5354,-3.509106,0,0
11.988492,327.577525,-399776.644042,-52.193276,-95548.9111,-12.474492,0,0
33.137941,732.76789,-375417.159228,-8.360202,-89726.8545,-1.998136,0,0
13.476361,657.96859,-378537.323673,-5.247466,-90472.5917,-1.254174,0,0
18.765359,548.24073,-384796.126178,-18.352965,-91968.4814,-4.386464,0,0
32.592005,877.054757,-367323.708706,1.868293,-87792.4734,0.446533,0,0
21.045099,583.202736,-383075.48965,-16.223026,-91557.2394,-3.877396,0,0
32.773045,495.650868,-389229.688807,-31.14356,-93028.1283,-7.443489,0,0
9.417141,379.228412,-392772.07701,-30.734764,-93874.7794,-7.345785,0,0
32.499107,819.460727,-370550.769748,-1.91207,-88563.7595,-0.456996,0,0
33.91278,390.551226,-397107.489694,-49.333259,-94910.9679,-11.790932,0,0
31.613015,785.104895,-372447.923378,-4.033271,-89017.1901,-0.963975,0,0
28.216249,467.262605,-390664.307932,-33.035316,-93371.0105,-7.89563,0,0
26.296054,554.499923,-385108.947122,-21.578305,-92043.2474,-5.157339,0,0
27.814505,794.568678,-371815.154883,-2.112026,-88865.9548,-0.504786,0,0
12.53406,692.268731,-376686.309939,-1.903268,-90030.1888,-0.454892,0,0
31.003935,595.780304,-383055.030726,-19.336032,-91552.3496,-4.621422,0,0
29.038663,357.169056,-399685.355857,-55.392032,-95527.0927,-13.239013,0,0
19.632205,324.523132,-402160.238299,-61.029329,-96118.6038,-14.58636,0,0
34.436647,609.439127,-382455.930879,-19.213864,-91409.1613,-4.592224,0,0
8.896318,934.696994,-363627.705362,17.144059,-86909.1074,4.097528,0,0
34.21008,494.972836,-389390.658166,-31.790698,-93066.6009,-7.598159,0,0
26.937696,937.626913,-363831.128094,7.407018,-86957.7266,1.77032,0,0
9.58812,809.842727,-370357.758481,8.785698,-88517.6287,2.099832,0,0
33.609346,580.342023,-384105.051132,-21.785013,-91803.3105,-5.206743,0,0
34.039463,636.179145,-380900.519674,-16.618128,-91037.4091,-3.971828,0,0
17.028388,665.440796,-378368.271245,-6.93117,-90432.1872,-1.656589,0,0
8.084373,791.858728,-371244.752255,9.110743,-88729.6253,2.17752,0,0
17.814769,688.72771,-377172.572327,-5.541573,-90146.4083,-1.324468,0,0
21.706898,971.161338,-361873.131154,11.350272,-86489.7541,2.71278,0,0
14.594605,529.466276,-385375.754526,-17.460764,-92107.0159,-4.173223,0,0
25.568,986.335512,-361075.935225,10.731319,-86299.2197,2.564847,0,0
7.93699,633.029988,-379419.238908,-2.24894,-90683.3745,-0.537509,0,0
21.204392,338.708595,-400797.784806,-57.201901,-95792.9696,-13.671582,0,0
26.155128,765.157795,-373386.895403,-3.593838,-89241.6098,-0.858948,0,0
30.739097,550.523696,-385678.812942,-23.847689,-92179.4486,-5.699735,0,0
18.20994,906.968,-365368.254382,9.149021,-87325.1086,2.186668,0,0
15.446933,513.06123,-386359.803293,-19.788429,-92342.2092,-4.729548,0,0
14.74326,847.071391,-368545.519549,7.333677,-88084.4932,1.752791,0,0
19.449908,975.321749,-361605.357246,12.579413,-86425.7546,3.006552,0,0
12.895895,885.419991,-366411.656955,10.936776,-87574.4878,2.613952,0,0
30.181231,952.257971,-363054.542549,7.22244,-86772.1182,1.726204,0,0
29.428349,879.097808,-367150.989002,2.970622,-87751.1924,0.709996,0,0
8.428138,410.322103,-390715.82134,-24.754906,-93383.3225,-5.916565,0,0
27.883384,448.802965,-391901.24519,-35.654703,-93666.6456,-8.521679,0,0
31.40074,638.802373,-380625.228374,-15.503901,-90971.6129,-3.705521,0,0
14.653431,516.586794,-386072.744492,-18.824697,-92273.6005,-4.499211,0,0
9.886134,923.216758,-364277.183916,15.552528,-87064.3365,3.717143,0,0
7.743688,487.062458,-386670.117602,-15.065199,-92416.3761,-3.600669,0,0
11.849419,697.386379,-376379.011875,-0.993108,-89956.7428,-0.237358,0,0
29.770698,488.868847,-389400.174674,-30.776746,-93068.8754,-7.355819,0,0
21.557034,782.45331,-372280.366312,-0.499875,-88977.143,-0.119473,0,0
