,BFW_Fm,BFW_F,BFW_h,BFW_T,BFW_P,BFW_F[H2O],ECON_OUT_Fm,ECON_OUT_F,ECON_OUT_h,ECON_OUT_T,ECON_OUT_P,ECON_OUT_F[H2O],FG_2_AIRPH_Fm,FG_2_AIRPH_F,FG_2_AIRPH_h,FG_2_AIRPH_T,FG_2_AIRPH_P,FG_2_AIRPH_F[O2],FG_2_AIRPH_F[NO],FG_2_AIRPH_F[N2],FG_2_AIRPH_F[SO2],FG_2_AIRPH_F[CO2],FG_2_AIRPH_F[H2O],FG_2_ECON_Fm,FG_2_ECON_F,FG_2_ECON_h,FG_2_ECON_T,FG_2_ECON_P,FG_2_ECON_F[O2],FG_2_ECON_F[NO],FG_2_ECON_F[N2],FG_2_ECON_F[SO2],FG_2_ECON_F[CO2],FG_2_ECON_F[H2O],ECON_Q,termination,bin_no,bin_power
0,507.26410443901324,28157.45535614642,15314.515214961946,470.06962632311524,26921593.052197773,28157.45535614642,507.26410443901324,28157.45535614642,20132.856789711223,529.5744627851748,26247853.031979892,28157.45535614642,589.4439035501058,19890.706433012405,-72472.10469916622,492.1356631123705,98913.35808986446,491.3004488954064,11.93442385980744,14737.02439621889,39.78141286602481,2882.163362143497,1728.5023890287775,589.4439035501058,19890.706433012405,-65651.21886292999,697.7051564914825,99731.31316956625,491.3004488954064,11.93442385980744,14737.02439621889,39.78141286602481,2882.163362143497,1728.5023890287775,135672237.78166693,optimal,24.0,592500000.0
1,465.3141260103292,25828.876151624787,15058.339640494327,466.80234961520637,26923567.635916665,25828.876151624787,465.3141260103292,25828.876151624787,20337.55297685221,531.9980861716792,26246198.239622768,25828.876151624787,588.605877999075,19862.427371818416,-72605.79910574906,487.98676511872554,101270.58460391287,490.60195608391496,11.91745642309105,14716.072439780266,39.72485474363684,2878.0657261764886,1726.0449386110201,588.605877999075,19862.427371818416,-65740.76972689977,695.081596048273,99313.68956257243,490.60195608391496,11.91745642309105,14716.072439780266,39.72485474363684,2878.0657261764886,1726.0449386110201,136356147.44279367,optimal,24.0,592500000.0
2,491.44627154653386,27279.43162136327,15017.064244097728,466.27522787378837,26922941.81356012,27279.43162136327,491.44627154653386,27279.43162136327,19963.851270318955,527.566160808833,26247503.436856154,27279.43162136327,580.9269504188873,19603.30297796523,-72429.65117950803,493.452174872466,99639.84451052597,484.2015835557413,11.761981786779138,14524.08717637444,39.20660595593046,2840.518601507162,1703.5270287851783,580.9269504188873,19603.30297796523,-65545.83478494777,700.7901775125171,100713.53391035853,484.2015835557413,11.761981786779138,14524.08717637444,39.20660595593046,2840.518601507162,1703.5270287851783,134945538.42724892,optimal,24.0,592500000.0
3,448.65083885459984,24903.922542512264,14708.014291385643,462.3210092723299,26922454.073020622,24903.922542512264,448.65083885459984,24903.922542512264,20239.684020025165,530.840528103774,26247083.517457046,24903.922542512264,587.3762528824944,19820.93383516589,-72426.0771919123,493.5629859506369,100511.81342492842,489.5770657285976,11.892560301099532,14685.329878474407,39.641867670331784,2872.0533127155372,1722.4391502759156,587.3762528824944,19820.93383516589,-65475.83581587849,702.8379009715043,99556.76098529536,489.5770657285976,11.892560301099532,14685.329878474407,39.641867670331784,2872.0533127155372,1722.4391502759156,137760274.45279846,optimal,24.0,592500000.0
4,505.79993584077556,28076.181594455076,15041.422707104599,466.586488046006,26921977.891456105,28076.181594455076,505.79993584077556,28076.181594455076,19902.526728125824,526.8357940566833,26248582.681522314,28076.181594455076,584.4963577629786,19723.75215589981,-72414.03737293335,493.9362555511275,99602.30486311315,487.17667825072533,11.834251293539884,14613.327972306168,39.44750431179961,2857.9716873898824,1713.9940623476932,584.4963577629786,19723.75215589981,-65494.39864674387,702.2949820163254,100384.93321111306,487.17667825072533,11.834251293539884,14613.327972306168,39.44750431179961,2857.9716873898824,1713.9940623476932,136481239.24372765,optimal,25.0,597500000.0
5,491.7771411637928,27297.797688260467,15278.616514053147,469.6122572598729,26922206.010835193,27297.797688260467,491.7771411637928,27297.797688260467,20046.958186257183,528.5545432603319,26247589.25237837,27297.797688260467,585.196445067092,19747.376509226277,-72480.50971900347,491.8749642870396,99741.06671679193,487.7601997778891,11.848425905535766,14630.83125568575,39.494753018452556,2861.394856186888,1716.0470186517634,585.196445067092,19747.376509226277,-65888.98976618785,690.7350719020793,100610.40715188325,487.7601997778891,11.848425905535766,14630.83125568575,39.494753018452556,2861.394856186888,1716.0470186517634,130165226.27632739,optimal,24.0,592500000.0
6,519.11612928097,28815.34314565678,14827.314403801493,463.8490489531187,26921010.23608548,28815.34314565678,519.11612928097,28815.34314565678,19544.30747367247,522.5529231210272,26248119.016855855,28815.34314565678,586.0339924251371,19775.639433861314,-72464.21206546715,492.3804531196505,99772.90500305907,488.45829401637457,11.865383660316787,14651.771256547847,39.55127886772263,2865.4901539665043,1718.503066802548,586.0339924251371,19775.639433861314,-65591.01970278268,699.4677486026112,99274.1508964357,488.45829401637457,11.865383660316787,14651.771256547847,39.55127886772263,2865.4901539665043,1718.503066802548,135921773.92401725,optimal,25.0,597500000.0
7,518.4017621332166,28775.68971681224,14789.382930673186,463.3632374523889,26922845.623282026,28775.68971681224,518.4017621332166,28775.68971681224,19707.14713396296,524.5033831032927,26247239.16161995,28775.68971681224,593.5986355248637,20030.90731306228,-72402.01106248258,494.30906997267,99983.06642158378,494.7634106326383,12.018544387837366,14840.899228247841,40.06181462612456,2902.478469662724,1740.6858455051117,593.5986355248637,20030.90731306228,-65337.32574380848,706.8864684713415,100862.01671178253,494.7634106326383,12.018544387837366,14840.899228247841,40.06181462612456,2902.478469662724,1740.6858455051117,141512056.81431282,optimal,24.0,592500000.0
8,502.7929302997459,27909.267311468575,14942.566209814166,465.32318991052813,26922504.02667164,27909.267311468575,502.7929302997459,27909.267311468575,19555.27393221684,522.684547675793,26245794.896182653,27909.267311468575,583.2168057692041,19680.57384339093,-72333.43752421695,496.43414709247094,99769.9954042443,486.1101739317559,11.808344306034554,14581.337160568337,39.36114768678185,2851.715149907345,1710.2418669906713,583.2168057692041,19680.57384339093,-65792.09915275253,693.5769557832592,100637.18744743793,486.1101739317559,11.808344306034554,14581.337160568337,39.36114768678185,2851.715149907345,1710.2418669906713,128737292.85421172,optimal,25.0,597500000.0
9,508.5005446894769,28226.088265213533,15205.250055374228,468.67728468967306,26920920.754008606,28226.088265213533,508.5005446894769,28226.088265213533,19825.281524628193,525.9147308572011,26246168.728115737,28226.088265213533,582.6190227389508,19660.401734232117,-72356.01924358813,495.7344760067548,99825.36508477447,485.6119228355333,11.796241040539266,14566.391644892574,39.32080346846423,2848.7922112902334,1708.4889107047704,582.6190227389508,19660.401734232117,-65723.12242886188,695.5987554914129,100076.68360711522,485.6119228355333,11.796241040539266,14566.391644892574,39.32080346846423,2848.7922112902334,1708.4889107047704,130405416.03922656,optimal,25.0,597500000.0
